SYMPTOM 1,SYMPTOM 2,SYMPTOM 3,DISEASE,TREATMENT
Mild pain or Discomfort inside the ear,A feeling of pressure inside the ear,Pus,Ear Infection,"Ear drops,Ibuprofen and Acetaminophen"
Mild pain or Discomfort inside the ear,Pus,A feeling of pressure inside the ear,Ear Infection,"Ear drops,Ibuprofen and Acetaminophen"
Mild pain or Discomfort inside the ear,A feeling of pressure inside the ear,Hearing Loss,Ear Infection,"Ear drops,Ibuprofen and Acetaminophen"
Mild pain or Discomfort inside the ear,Hearing loss,A feeling of pressure inside the ear,Ear Infection,"Ear drops,Ibuprofen and Acetaminophen"
Mild pain or Discomfort inside the ear,Pus,Hearing Loss,Ear Infection,"Ear drops,Ibuprofen and Acetaminophen"
Mild pain or Discomfort inside the ear,Hearing loss,Pus,Ear Infection,"Ear drops,Ibuprofen and Acetaminophen"
A feeling of Pressure inside the ear,Mild pain  or Discomfort inside the ear,Pus,Ear Infection,"Ear drops,Ibuprofen and Acetaminophen"
A feeling of Pressure inside the ear,Pus,Mild pain or Discomfort inside the ear,Ear Infection,"Ear drops,Ibuprofen and Acetaminophen"
A feeling of Pressure inside the ear,Mild pain  or Discomfort inside the ear,Hearing Loss,Ear Infection,"Ear drops,Ibuprofen and Acetaminophen"
A feeling of Pressure inside the ear,Hearing loss,Mild pain or Discomfort inside the ear,Ear Infection,"Ear drops,Ibuprofen and Acetaminophen"
A feeling of Pressure inside the ear,Pus,Hearing Loss,Ear Infection,"Ear drops,Ibuprofen and Acetaminophen"
A feeling of Pressure inside the ear,Hearing loss,Pus,Ear Infection,"Ear drops,Ibuprofen and Acetaminophen"
Pus,Mild pain  or Discomfort inside the ear,A feeling of pressure inside the ear,Ear Infection,"Ear drops,Ibuprofen and Acetaminophen"
Pus,A feeling of pressure inside the ear,Mild pain or Discomfort inside the ear,Ear Infection,"Ear drops,Ibuprofen and Acetaminophen"
Pus,Mild pain  or Discomfort inside the ear,Hearing Loss,Ear Infection,"Ear drops,Ibuprofen and Acetaminophen"
Pus,Hearing loss,Mild pain or Discomfort inside the ear,Ear Infection,"Ear drops,Ibuprofen and Acetaminophen"
Pus,A feeling of pressure inside the ear,Hearing Loss,Ear Infection,"Ear drops,Ibuprofen and Acetaminophen"
Pus,Hearing loss,Mild pain or Discomfort inside the ear,Ear Infection,"Ear drops,Ibuprofen and Acetaminophen"
Hearing loss,A feeling of pressure inside the ear,Mild pain or Discomfort inside the ear,Ear Infection,"Ear drops,Ibuprofen and Acetaminophen"
Hearing loss,Mild pain  or Discomfort inside the ear,A feeling of pressure inside the ear,Ear Infection,"Ear drops,Ibuprofen and Acetaminophen"
Hearing loss,Pus,Mild pain or Discomfort inside the ear,Ear Infection,"Ear drops,Ibuprofen and Acetaminophen"
Hearing loss,Mild pain  or Discomfort inside the ear,Pus,Ear Infection,"Ear drops,Ibuprofen and Acetaminophen"
Hearing loss,A feeling of pressure inside the ear,Pus,Ear Infection,"Ear drops,Ibuprofen and Acetaminophen"
Hearing loss,Pus,A feeling of pressure inside the ear,Ear Infection,"Ear drops,Ibuprofen and Acetaminophen"
